title,url,source,published_at,snippet,link_verified,fetch_timestamp
How do silicon nanospheres enhance WS₂ SHG? #science,https://alltoc.com/science/how-do-silicon-nanospheres-enhance-ws2-shg,Alltoc.com,2026-03-26T00:02:44Z,"Silicon nanospheres boost SHG from WS₂ by 40× Researchers reported that silicon nanospheres can dramatically enhance second harmonic generation (SHG) from WS₂, an atomically thin semiconductor. In the experiment, the enhancement reached about a 40 fold increa…",True,2026-03-27T03:23:23.254774
Minimalist terahertz wireless transceiver in integrated photonics,https://www.nature.com/articles/s41467-026-71081-z,Nature.com,2026-03-26T00:00:00Z,"Researchers demonstrate a minimalist terahertz wireless transceiver in integrated photonics. They break the longstanding constraint between source purity and DSP complexity, realizing 144 Gbps high-speed transmission at subterahertz frequency.",True,2026-03-27T03:23:23.254820
Taiwan's LinkCom targets growth in silicon photonics and satellite markets,https://www.digitimes.com/news/a20260324PD227/silicon-photonics-growth-power-supply-efficiency.html,Digitimes,2026-03-25T04:04:04Z,"Taiwan-based magnetic components maker LinkCom Manufacturing is positioning itself for its next phase of growth by expanding beyond high-speed networking into emerging applications, including silicon photonics and low-Earth-orbit satellites.",True,2026-03-27T03:23:23.254834
Nvidia and Google predict 'Q-Day' at first AI Expo quantum forum,https://www.digitimes.com/news/a20260326PD221/google-nvidia-quantum-computing-quantum-technology.html,Digitimes,2026-03-26T02:36:27Z,"Academic and industry experts from Nvidia and Google predicted an upcoming ""Q-Day"", the day when quantum computing is advanced enough to break current levels of encryption and crack passwords. While this day may be years ahead, governments and companies are a…",True,2026-03-27T03:23:24.115109
"Ashwini Vaishnaw chairs MeitY panel on AI, emerging tech and electronics manufacturing",https://www.thehindubusinessline.com/info-tech/ashwini-vaishnaw-chairs-meity-panel-on-ai-emerging-tech-and-electronics-manufacturing/article70785788.ece,BusinessLine,2026-03-26T01:44:30Z,"Ashwini Vaishnaw chairs Meity consultative committee on AI, electronics manufacturing, and emerging technologies, highlighting growth, IndiaAI Sovereign Stack, and digital self-reliance.",True,2026-03-27T03:23:24.115133
Google adiciona pesquisa de átomos neutros ao programa quântico,https://gd.eurisko.com.br/2026/03/25/google-adiciona-pesquisa-de-atomos-neutros-ao-programa-quantico/,Eurisko.com.br,2026-03-26T01:34:53Z,Entenda por que o Google decidiu investir em átomos neutros e como essa estratégia pode acelerar a chegada dos computadores quânticos ao mercado.,True,2026-03-27T03:23:24.115140
Google targets 2029 post-quantum migration as threats draw nearer,https://cointelegraph.com/news/google-sets-quantum-migration-deadline-2029,Cointelegraph,2026-03-26T00:48:12Z,"Google said it plans to make its systems quantum-resistant by 2029, citing rapid progress in quantum computing hardware and error correction, and suggested others act urgently as well.",True,2026-03-27T03:23:24.115145
Adaptive intelligent controller for a lower limb rehabilitation robot using QAOA-based online membership optimization,https://www.nature.com/articles/s41598-026-41647-4,Nature.com,2026-03-26T00:00:00Z,"Adaptive control of lower-limb rehabilitation robots is challenging due to the nonlinear dynamics of coupled joints, patient-specific uncertainties, and external disturbances during human–robot interaction. This study presents a hybrid quantum-inspired adapti…",True,2026-03-27T03:23:24.115151
Google sets 2029 timeline for post-quantum cryptography migration,https://siliconangle.com/2026/03/25/google-sets-2029-timeline-post-quantum-cryptography-migration/,SiliconANGLE News,2026-03-25T23:25:01Z,Google LLC today announced that it is stepping up its push towards a quantum-safe future with the introduction of a 2029 timeline to secure the quantum era with post-quantum cryptography migration. The new timeline offers a clearer strategy for migrating glob…,True,2026-03-27T03:23:24.115156
Google Sets 2029 Deadline to Deal With Quantum Threat—Is It a Problem for Bitcoin?,https://decrypt.co/362356/google-2029-deadline-quantum-threat-problem-bitcoin,Decrypt,2026-03-25T21:31:04Z,Google just issued a 2029 deadline to encrypt its systems against quantum computers. Bitcoin may not have the same luxury of time.,True,2026-03-27T03:23:24.115162
Google: The feared Q-Day is now expected to happen in 2029,https://www.afterdawn.com/news/article.cfm/2026/03/25/google-predicts-q-day-is-happens-in-2029,Afterdawn.com,2026-03-25T20:32:50Z,"Google has published a new, significantly faster - and more worrysome - timeline for the so-called encryption apocalypse. According to the company, current forms of encryption technologies will become insecure as early as 2029.

This is the so-called Q-Day (q…",True,2026-03-27T03:23:24.115167
cirq-google 1.7.0.dev20260325195614,https://pypi.org/project/cirq-google/1.7.0.dev20260325195614/,Pypi.org,2026-03-25T20:06:12Z,The Cirq module that provides tools and access to the Google Quantum Computing Service,True,2026-03-27T03:23:24.115173
Rigetti Computing Intends to Invest $100 Million in UK to Accelerate Quantum Computing Development,https://www.globenewswire.com/news-release/2026/03/25/3262574/0/en/Rigetti-Computing-Intends-to-Invest-100-Million-in-UK-to-Accelerate-Quantum-Computing-Development.html,GlobeNewswire,2026-03-25T20:05:00Z,"Rigetti’s investment will go towards deploying a quantum computing system in the UK with over 1,000 qubits in the next 3 to 4 years. ...",True,2026-03-27T03:23:24.115182
bloqade-lanes 0.6.1,https://pypi.org/project/bloqade-lanes/0.6.1/,Pypi.org,2026-03-25T19:47:48Z,Components for defining and manipulating lane-based structures in Bloqade for neutral atom quantum computing.,True,2026-03-27T03:23:24.115191
AT&T and Ericsson flag AI/ML threats to mobile networks,https://www.telecompetitor.com/att-and-ericsson-flag-ai-ml-threats-to-mobile-networks/,Telecompetitor,2026-03-25T19:45:00Z,"AT&T and Ericsson flag AI/ML threats to mobile networks
Artificial intelligence (AI) and machine learning (ML) are already being used in mobile networks, and AI itself is needed to counter the new security threats, according to experts from Ericsson and AT&T.…",True,2026-03-27T03:23:24.115198
